,title,description,return,sentiment
3/20/2020 14:52,Why BofA Has Low Expectations For Gilead's Remdesivir As Potential Coronavirus Treatment,"Gilead Sciences, Inc. (NASDAQ: GILD) shares spiked about 6.6% Wednesday in reaction to a Piper Sandler note that suggested the biopharma's remdesivir could be approved for COVID-19. An analyst at BofA Securities isn't convinced of remdesivir's potential.The G…",-3.79,
3/20/2020 15:00,"LOGC INVESTOR ALERT: Bronstein, Gewirtz & Grossman, LLC Notifies LogicBio Therapeutics, Inc. Investors of Class Action and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm","Attorney Advertising-- Bronstein, Gewirtz & Grossman, LLC reminds investors that a class action lawsuit has been filed against of LogicBio Therapeutics, Inc. (""LogicBio"" or the Company"") (NASDAQ: LOGC) and certain of its officers, on behalf of shareholders wh…",-3.79,
3/20/2020 15:19,"A Message From Oscar Munoz, Scott Kirby and Labor Leadership","Oscar Munoz, Chief Executive Officer, J. Scott Kirby, President, and labor leaders today issued the following message to nearly 100,000 United Airlines (NASDAQ: UAL) employees:",-3.79,
3/20/2020 15:44,The Dow Is Recoiling – And One Brutal Labor Market Chart Reveals Why,The Dow Jones recoiled on Friday after Goldman Sachs severely downgraded its GDP forecast and ING revealed an alarming labor market forecast. The post The Dow Is Recoiling – And One Brutal Labor Market Chart Reveals Why appeared first on CCN.com,-3.79,
3/20/2020 15:46,Stocks fall as statewide shutdowns spook Wall St.,"Dow slumps after NY Governor Andrew Cuomo ordered state's workforce to stay home, following similar call in California",-3.79,
3/20/2020 15:52,PepsiCo To Provide Enhanced Benefits To All U.S. Employees And Additional Compensation To U.S. Frontline During Unprecedented Health Pandemic,"PepsiCo, Inc. (NASDAQ: PEP) (""PepsiCo"") today announced it will provide enhanced benefits to all U.S.-based employees and additional compensation to U.S. frontline employees – the women and men who make, move and sell products – amidst the novel coronavirus (…",-3.79,
3/20/2020 15:59,"Technology Sector Update for 03/20/2020: AAPL,CRWD,EPAM,FB,SNAP - Nasdaq","Technology Sector Update for 03/20/2020: AAPL,CRWD,EPAM,FB,SNAP Nasdaq",-3.79,
3/20/2020 16:00,Dow falls over 900 points below 20K as coronavirus gives stocks worst week since '08,Investors await a third coronavirus package that is expected to guarantee low-interest loans for small businesses and give cash payments to most Americans.,-3.79,
3/20/2020 16:02,ETFs to the Rescue as Coronavirus Fears Beat US Stimulus Flows,The coronavirus-led bloodbath in major U.S. indices continues despite supportive measures being taken by the government and the central bank.,-3.79,
3/20/2020 16:02,US Dow Slips Over 900 Points as Massive Stock Sell-Off Ramps Up Amid Pandemic,"The New York Stock Exchange fell yet again on Friday, marking its worst week since the 2008 financial crash.",-3.79,
3/20/2020 16:04,Stocks drop 4% to end worst week since 2008,"Stocks closed more than 4% lower on Friday, with the S&P 500 shedding 4.3%, the Dow dropping 4.6% (or 927 points), and the Nasdaq falling 3.7%. Why it matters : It caps a bruising week for Wall Street — you'd have to go back to 2008 to see worse losses — as t…",-3.79,
3/20/2020 16:05,Addus HomeCare Announces Receipt Of Expected Notification Letter From Nasdaq Due To Timing Of Filing On Form 10-K,"Addus HomeCare Corporation (Nasdaq: ADUS), a provider of home care services, when announcing this week its estimated preliminary unaudited financial results also announced a delay in filing its Annual Report on Form 10-K for the fiscal year ended December 31,…",-3.79,
3/20/2020 16:06,3 High-Yield Tech Stocks to Buy to Help Ride Out Coronavirus Storm - Nasdaq,"The coronavirus has already ended the 11-year bull market and its continued spread around the U.S. and the rest of the world has temporarily put a halt to much economic activity, including the travel and hospitality industries. The Dow, the S&P 500, and the N…",-3.79,
3/20/2020 16:06,3 High-Yield Tech Stocks to Buy to Help Ride Out Coronavirus Storm,"Here are three tech stocks that might be solid longer-term investments, even if we haven't hit a bottom. On top of that, their higher dividend yields should help provide much-needed income during the coronavirus downturn...",-3.79,
3/20/2020 16:06,"Stock Market Losses Accelerate As Oil Prices Plunge, Cuomo Orders New Yorkers To Hunker Down",A slate of bad news related to the coronavirus drove stocks lower on Friday.,-3.79,
3/20/2020 16:17,"Why Lockheed Martin, Harley-Davidson, and 3M Stocks Dropped Today",Factories are shutting down to slow the spread of coronavirus. That's not good news for manufacturers' profits.,-3.79,
3/20/2020 16:28,Buy And Hold Is Really Hard Right Now,The stock market is experiencing a swift drop that is large in magnitude in a short time period. Volatility is elevated.This makes following an investment philosophy of buy and hold for dividend growth investing more challenging.Quality matters in stocks for …,-3.79,
3/20/2020 16:30,"ReTo Eco-Solutions, Inc. Announces Receipt of Nasdaq Continued Listing Deficiency Notice","ReTo Eco-Solutions, Inc. (the ""Company,"" ""we"" or ""ReTo"") (NASDAQ: RETO), a full spectrum provider of products and services, ranging from the production of environmentally-friendly construction materials and manufacturing equipment used to produce construction…",-3.79,
3/20/2020 16:33,"Dow Jones Accelerates Losses As New Coronavirus Cases Jump In US, Europe - Investor's Business Daily","Dow Jones Accelerates Losses As New Coronavirus Cases Jump In US, Europe Investor's Business Daily Dow falls over 900 points below 20K as coronavirus gives stocks worst week since '08 Fox Business Live updates: Markets continue in flux at end of volatile week…",-3.79,
3/20/2020 17:00,Liminal BioSciences to report its fourth quarter and year-end 2019 financial results and hold conference call/webcast,"Liminal BioSciences Inc. (Nasdaq: LMNL) (TSX: LMNL) (""Liminal BioSciences"" or the ""Company""), a clinical-stage biopharmaceutical company focused on discovering, developing and commercializing novel treatments for patients suffering from diseases related to fi…",-3.79,
3/20/2020 17:01,Liminal Biosciences Reports Fourth Quarter and 2019 Year End Results,"Liminal BioSciences Inc. (Nasdaq: LMNL) (TSX: LMNL) (""Liminal BioSciences"" or the ""Company""), a clinical-stage biopharmaceutical company focused on discovering, developing and commercializing novel treatments for patients suffering from diseases related to fi…",-3.79,
3/20/2020 17:03,Stock Market Wrap-Up: Oil Breaks $20; Bond Yields Plunge as Stocks Swoon,The market finished the week at its lows.,-3.79,
3/20/2020 17:33,"Gordon Pointe Acquisition Corp. Provides Update on Proposed Business Combination with HOF Village, LLC","Gordon Pointe Acquisition Corp. (Nasdaq: GPAQ) (""GPAQ"") and HOF Village, LLC (""HOFV"") today updated investors about their proposed business combination and the related special meeting of GPAQ shareholders.",-3.79,
3/20/2020 17:45,Twilio Inc. (TWLO) Gains As Market Dips: What You Should Know,"Twilio Inc. (TWLO) closed at $84.08 in the latest trading session, marking a +1.92% move from the prior day.",-3.79,
3/20/2020 17:45,CyberArk (CYBR) Gains As Market Dips: What You Should Know,"In the latest trading session, CyberArk (CYBR) closed at $76.77, marking a +1.63% move from the previous day.",-3.79,
3/20/2020 17:45,Enphase Energy (ENPH) Stock Moves -0.95%: What You Should Know,"In the latest trading session, Enphase Energy (ENPH) closed at $26, marking a -0.95% move from the previous day.",-3.79,
3/20/2020 17:45,Enterprise Products Partners (EPD) Stock Moves -0.34%: What You Should Know,"In the latest trading session, Enterprise Products Partners (EPD) closed at $14.47, marking a -0.34% move from the previous day.",-3.79,
3/20/2020 17:45,Teva Pharmaceutical Industries Ltd. (TEVA) Gains As Market Dips: What You Should Know,"In the latest trading session, Teva Pharmaceutical Industries Ltd. (TEVA) closed at $7.26, marking a +1.26% move from the previous day.",-3.79,
3/20/2020 17:45,Kraft Heinz (KHC) Gains As Market Dips: What You Should Know,"Kraft Heinz (KHC) closed at $22.30 in the latest trading session, marking a +0.09% move from the prior day.",-3.79,
3/20/2020 17:45,Appian (APPN) Gains As Market Dips: What You Should Know,"In the latest trading session, Appian (APPN) closed at $35.42, marking a +0.14% move from the previous day.",-3.79,
3/20/2020 17:45,Dropbox (DBX) Stock Moves -1.29%: What You Should Know,"Dropbox (DBX) closed the most recent trading day at $17.59, moving -1.29% from the previous trading session.",-3.79,
3/20/2020 17:45,Bristol-Myers Squibb (BMY) Stock Moves -0.8%: What You Should Know,"Bristol-Myers Squibb (BMY) closed the most recent trading day at $48.40, moving -0.8% from the previous trading session.",-3.79,
3/20/2020 18:03,Why Snap Stock Popped 6.6% Today,"Wells Fargo thinks unprofitable Snap is nonetheless ""attractively valued.""",-3.79,
3/20/2020 18:05,SSR Mining Announces Temporary Suspension of Puna Operations,"SSR Mining Inc. (NASDAQ: SSRM) (TSX: SSRM) (""SSR Mining"") announces that Puna Operations (""Puna"") is temporarily suspending operations in accordance with government-mandated restrictions due to the COVID-19 virus. On March 19, 2020, the government of Argentin…",-3.79,
3/20/2020 18:25,Tech Is The Solution - Nasdaq,"The novel coronavirus has shown us a lot about our economic infrastructure and which direction our world is heading. Tech is the solution to our problems, and this horrific pandemic has illuminated that. The ability for many American’s to function and work ef…",-3.79,
3/20/2020 18:48,Buy Amazon (AMZN) Stock Because It's Immune to the Coronavirus?,"Amazon (AMZN) stock has fallen over the last month. However, the company's core businesses, e-commerce and cloud computing, seem tailor-made to withstand the current market conditions...",-3.79,
3/20/2020 19:22,At least someone’s doing well: Goldman Sachs gives CEO 20% raise as it forecasts coronavirus crash for America,"Even as the US stock market continued its free-fall due to the coronavirus pandemic, the top banker at Goldman Sachs got a pay raise to $2 million a year, $7.65 million cash bonus, plus stock options worth $17.85 million. Read Full Article at RT.com",-3.79,
3/20/2020 19:32,Coronavirus Market Watchlist: Are You Watching These Stocks? - Investor's Business Daily,"Here’s a list of all the top-rated growth stocks that have just been added to the IBD 50, IBD Big Cap 20, Sector Leaders, Stock Spotlight and IPO leaders.",-3.79,
3/20/2020 20:00,"ROSEN, NATIONAL INVESTOR COUNSEL, Files Securities Class Action Lawsuit Against Paysign, Inc. - PAYS","Rosen Law Firm, a global investor rights law firm, announces it has filed a class action lawsuit on behalf of purchasers of the securities of Paysign, Inc. (NASDAQ: PAYS) between March 12, 2019 and March 15, 2020, inclusive (the ""Class Period""). The lawsuit s…",-3.79,
3/20/2020 21:45,Coronavirus: Dow erases Trump presidency gains - BBC News,The Dow falls 4.5% to finish its worst week since 2008 as New York orders many to stay at home.,-3.79,
3/20/2020 22:20,One in ﬁve Americans now subject to stay-home orders in three states,"The orders essentially close three of the nation's largest cities: New York, Los Angeles and Chicago. They come as Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases, said Friday that Americans will need to stay at home as mu…",-3.79,
3/19/2020 0:45,"Do Hedge Funds Love Nasdaq, Inc. (NDAQ)?",Coronavirus is probably the 1 concern in investors' minds right now. It should be. On February 27th we published an article with the title Recession is Imminent: We Need A Travel Ban NOW. We predicted that a US recession is imminent and US stocks will go down…,2.3,
3/19/2020 2:00,DouYu International Holdings Limited Reports Fourth Quarter and Full Year 2019 Unaudited Financial Results,"DouYu International Holdings Limited (""DouYu"" or the ""Company"") (Nasdaq: DOYU), a leading game-centric live streaming platform in China and a pioneer in the eSports value chain, today announced its unaudited financial results for the fourth quarter and the fu…",2.3,
3/19/2020 2:51,Stock futures turn positive following stimulus measures - Fox Business,"Stock futures turn positive following stimulus measures Fox Business The entire Trump stock rally is nearly gone CNN Dow briefly wipes out gains under Trump's presidency, remains slightly positive since his election CNBC Stocks resume trading after halt as re…",2.3,
3/19/2020 4:11,European markets open mixed after ECB stimulus package - CNBC,European markets open mixed after ECB stimulus package CNBC Stock market news live: Stock futures gain after ECB announces stimulus plan Yahoo Finance European Central Bank throws 750 billion euros at the economy to fight the coronavirus crash CNN Eurobonds A…,2.3,
3/19/2020 5:10,Momo Announces Unaudited Financial Results for the Fourth Quarter and Fiscal Year 2019,"Momo Inc. (NASDAQ: MOMO) (""Momo"" or the ""Company""), a leading mobile social networking platform in China, today announced its unaudited financial results for the fourth quarter and the full year ended December 31, 2019.",2.3,
3/19/2020 5:47,Need to Know: When to buy during an ugly stock market rout? These charts have the answers.,Our call of the day says it doesn’t matter when you buy in turbulent stock markets. History shows you should. Here’s how.,2.3,
3/19/2020 6:00,American Finance Trust Comments on COVID-19,"American Finance Trust, Inc. (Nasdaq: AFIN) (""AFIN"" or the ""Company"") today issued the following statement regarding the on-going COVID-19 pandemic.",2.3,
3/19/2020 6:00,Exact Sciences Takes Action during COVID-19 Pandemic,"Exact Sciences Corp. (NASDAQ: EXAS) today provided an update on the actions it is taking to support patients, employees, and public health initiatives in response to the coronavirus (COVID-19) pandemic.",2.3,
3/19/2020 6:00,Research Solutions Receives Nasdaq Listing Approval,"Research Solutions, Inc. (OTCQB: RSSS), a SaaS provider of workflow efficiency solutions for R&D-driven; organizations, announced today that Nasdaq has approved its application to have its common stock listed on the Nasdaq Capital Market.",2.3,
3/19/2020 6:27,3 Important Takeaways From JD.com’s Latest Earnings,The Chinese online retailer demonstrated resilience in its business model.,2.3,
